date,open price,high price,low price,close,wap,no.of shares,no. of trades,total turnover (rs.),deliverable quantity,% deli. qty to traded qty,spread high-low,spread close-open
6-July-2018,1882.8,1920.3,1880.0,1913.3,1908.633957550696,211358,8164,403405056.0,98826.0,46.76,40.3,30.5
5-July-2018,1875.2,1887.0,1864.0,1881.7,1876.1809473798571,110452,5257,207227938.0,46388.0,42.0,23.0,6.5
4-July-2018,1879.0,1880.0,1860.1,1869.65,1867.0838479553236,138775,9587,259104561.0,80734.0,58.18,19.9,-9.35
3-July-2018,1859.95,1880.0,1858.0,1875.9,1873.289814413876,163967,7300,307157711.0,73061.0,44.56,22.0,15.95
2-July-2018,1829.95,1859.95,1829.95,1855.6,1854.448335754854,151420,8013,280800567.0,80437.0,53.12,30.0,25.65
29-June-2018,1846.0,1868.0,1843.0,1847.2,1851.5314482800668,229631,12213,425169018.0,106610.0,46.43,25.0,1.2
28-June-2018,1865.0,1872.0,1830.15,1847.3,1848.3262269138777,333642,14288,616679259.0,142048.0,42.57,41.85,-17.7
27-June-2018,1859.8,1886.2,1852.0,1859.8,1871.3406979293131,474432,14800,887823910.0,268177.0,56.53,34.2,0.0
26-June-2018,1821.0,1862.0,1821.0,1852.7,1835.95133473636,1065791,20665,1956740409.0,893456.0,83.83,41.0,31.7
25-June-2018,1812.0,1824.0,1809.0,1820.45,1817.8838319734057,215085,8218,390999544.0,104621.0,48.64,15.0,8.45
22-June-2018,1828.8,1829.0,1803.25,1811.8,1812.4129206607688,200191,7852,362828755.0,102497.0,51.2,25.75,-17.0
21-June-2018,1830.0,1834.0,1818.0,1819.85,1823.6080363707129,184984,6940,337338309.0,93180.0,50.37,16.0,-10.15
20-June-2018,1833.0,1836.6,1823.0,1826.3,1830.429297583452,204010,7939,373425881.0,108644.0,53.25,13.6,-6.7
19-June-2018,1822.65,1839.6,1822.0,1825.85,1830.897324725676,721683,10297,1321327474.0,567882.0,78.69,17.6,3.2
18-June-2018,1869.0,1870.7,1825.5,1830.7,1842.3295290635865,522045,18725,961778919.0,287279.0,55.03,45.2,-38.3
15-June-2018,1801.0,1849.0,1791.0,1841.45,1821.9342820454876,765529,21913,1394743529.0,261573.0,34.17,58.0,40.45
14-June-2018,1839.0,1840.0,1785.0,1792.25,1800.052804732897,313381,11016,564102348.0,117180.0,37.39,55.0,-46.75
13-June-2018,1815.0,1832.0,1800.0,1824.2,1818.652460609622,353957,13670,643724769.0,150466.0,42.51,32.0,9.2
12-June-2018,1756.0,1784.95,1753.5,1781.0,1777.0088838879767,152861,3699,271635355.0,81891.0,53.57,31.45,25.0
11-June-2018,1747.0,1763.45,1742.8,1750.6,1754.686657496561,58160,2353,102052576.0,17988.0,30.93,20.65,3.6
8-June-2018,1736.0,1757.5,1736.0,1748.2,1748.526946731992,402906,2729,704491998.0,358186.0,88.9,21.5,12.2
7-June-2018,1725.4,1748.5,1725.4,1734.6,1736.9402142833114,118908,3443,206536087.0,54478.0,45.82,23.1,9.2
6-June-2018,1724.7,1735.3,1716.3,1727.25,1727.473192493533,383083,2970,661765613.0,20663.0,5.39,19.0,2.55
5-June-2018,1745.0,1752.6,1713.45,1721.2,1728.8262385268526,104701,6539,181009836.0,37823.0,36.12,39.15,-23.8
4-June-2018,1751.7,1752.0,1712.9,1744.55,1729.9001026342798,242609,4871,419689334.0,157883.0,65.08,39.1,-7.15
1-June-2018,1758.0,1760.0,1719.0,1732.25,1743.0492769696712,117215,4209,204311521.0,39157.0,33.41,41.0,-25.75
31-May-2018,1742.3,1758.7,1726.1,1744.8,1745.7661272827045,156722,9289,273599959.0,57663.0,36.79,32.6,2.5
30-May-2018,3520.0,3532.5,3484.6,3517.75,3510.4755515300512,77285,4455,271307103.0,27662.0,35.79,47.9,-2.25
29-May-2018,3512.0,3549.5,3491.1,3522.7,3518.3375064394786,102881,5450,361970081.0,31461.0,30.58,58.4,10.7
28-May-2018,3601.1,3618.0,3488.0,3503.8,3523.004065967472,131580,8147,463556875.0,30550.0,23.22,130.0,-97.3
25-May-2018,3619.0,3674.0,3572.8,3589.45,3631.4451433638783,84575,5461,307129473.0,23375.0,27.64,101.2,-29.55
24-May-2018,3500.0,3615.0,3500.0,3604.8,3577.3906751910185,96195,6374,344127096.0,24716.0,25.69,115.0,104.8
23-May-2018,3528.0,3544.95,3482.8,3497.05,3512.355304650804,45347,2842,159274776.0,12439.0,27.43,62.15,-30.95
22-May-2018,3558.0,3575.0,3495.0,3508.05,3522.0485665713622,51764,3502,182315322.0,13954.0,26.96,80.0,-49.95
21-May-2018,3520.0,3591.85,3510.0,3557.95,3569.8925017560287,68336,4304,243952174.0,17777.0,26.01,81.85,37.95
18-May-2018,3489.85,3518.0,3462.5,3502.35,3488.093847038528,26085,1789,90986928.0,5939.0,22.77,55.5,12.5
17-May-2018,3515.85,3529.8,3475.0,3492.7,3508.6512236672625,48134,3135,168885418.0,14492.0,30.11,54.8,-23.15
16-May-2018,3480.0,3509.95,3475.0,3495.55,3495.7199162289285,29127,2294,101819834.0,6963.0,23.91,34.95,15.55
15-May-2018,3454.0,3494.5,3436.9,3482.45,3476.611158841664,39574,2911,137583410.0,8124.0,20.53,57.6,28.45
14-May-2018,3464.0,3479.85,3416.0,3436.75,3436.3739334075312,301896,2716,1037427545.0,7731.0,2.56,63.85,-27.25
11-May-2018,3455.0,3487.5,3446.4,3460.6,3461.7664353958144,35168,2117,121743402.0,7611.0,21.64,41.1,5.6
10-May-2018,3491.0,3509.45,3446.0,3452.75,3474.9669368014106,61821,3571,214825931.0,13998.0,22.64,63.45,-38.25
9-May-2018,3449.0,3494.45,3443.0,3489.05,3479.368445363806,49793,3758,173248193.0,14775.0,29.67,51.45,40.05
8-May-2018,3432.0,3487.95,3398.85,3441.05,3452.77935862246,101282,4820,349704399.0,18283.0,18.05,89.1,9.05
7-May-2018,3482.25,3490.0,3420.1,3427.7,3442.2116300337425,63422,3868,218311946.0,14047.0,22.15,69.9,-54.55
4-May-2018,3482.0,3504.0,3471.3,3480.85,3486.0526427781087,46996,2419,163830530.0,11632.0,24.75,32.7,-1.15
3-May-2018,3502.0,3527.85,3475.0,3482.65,3500.543242050688,72522,4342,253866397.0,14960.0,20.63,52.85,-19.35
2-May-2018,3533.0,3560.0,3475.6,3497.8,3499.0578974959913,64856,3303,226934899.0,13017.0,20.07,84.4,-35.2
30-April-2018,3455.0,3547.0,3438.2,3531.4,3523.0820300239197,92393,8571,325508118.0,23578.0,25.52,108.8,76.4
27-April-2018,3540.0,3543.15,3449.3,3454.8,3475.7049303901126,107456,6981,373485349.0,28156.0,26.2,93.85,-85.2
26-April-2018,3471.0,3560.0,3469.0,3540.35,3519.387044861521,150998,9408,531420405.0,21971.0,14.55,91.0,69.35
25-April-2018,3385.0,3481.5,3366.0,3467.9,3447.5985950714853,221933,10387,765135899.0,28076.0,12.65,115.5,82.9
24-April-2018,3412.95,3443.5,3345.9,3385.65,3387.188244260752,195496,10185,662181753.0,33844.0,17.31,97.6,-27.3
23-April-2018,3429.0,3557.0,3400.0,3415.2,3480.582628861088,505816,24829,1760534383.0,63415.0,12.54,157.0,-13.8
20-April-2018,3250.2,3421.25,3245.0,3406.4,3337.05422207253,771955,30055,2576055692.0,221977.0,28.76,176.25,156.2
19-April-2018,3175.0,3215.0,3166.3,3190.65,3192.570077984168,102072,6361,325872013.0,27791.0,27.23,48.7,15.65
18-April-2018,3172.95,3189.8,3147.3,3159.5,3164.4289722301746,52395,3866,165800256.0,12749.0,24.33,42.5,-13.45
17-April-2018,3190.0,3190.0,3149.3,3165.9,3166.6354400345126,46360,2924,146805219.0,9446.0,20.38,40.7,-24.1
16-April-2018,3132.0,3199.0,3108.05,3184.8,3172.15060706074,117863,7252,373879187.0,16358.0,13.88,90.95,52.8
13-April-2018,3149.0,3238.0,3131.1,3151.0,3185.6470803742527,141936,8194,452158004.0,24858.0,17.51,106.9,2.0
12-April-2018,3015.5,3150.0,3010.15,3137.3,3093.155626915462,921775,7737,2851193528.0,824729.0,89.47,139.85,121.8
11-April-2018,2950.0,3026.9,2947.2,3015.5,2994.064939700395,92455,4638,276816274.0,54313.0,58.75,79.7,65.5
10-April-2018,2939.0,2955.85,2925.1,2931.85,2940.478008603154,29989,1648,88181995.0,7709.0,25.71,30.75,-7.15
9-April-2018,2950.0,2963.0,2915.0,2921.15,2936.0675076419684,23227,2348,68196040.0,9641.0,41.51,48.0,-28.85
6-April-2018,2941.0,2961.35,2927.0,2949.7,2945.288866883576,21207,1200,62460741.0,8279.0,39.04,34.35,8.7
5-April-2018,2915.55,2962.0,2915.55,2957.15,2951.332662498272,65093,2621,192111097.0,33069.0,50.8,46.45,41.6
4-April-2018,2923.0,2933.3,2891.95,2907.05,2915.684451178988,37617,1739,109679302.0,9510.0,25.28,41.35,-15.95
3-April-2018,2900.0,2927.15,2893.0,2908.1,2909.008192658678,34299,1813,99776072.0,14227.0,41.48,34.15,8.1
2-April-2018,2845.0,2910.0,2845.0,2902.9,2885.6944258288327,50734,2797,146402821.0,13822.0,27.24,65.0,57.9
28-March-2018,2839.0,2874.0,2827.55,2849.3,2856.3584947049,82057,4430,234384209.0,37355.0,45.52,46.45,10.3
27-March-2018,2820.1,2869.0,2820.1,2841.85,2843.9869582400206,37955,2559,107943525.0,13619.0,35.88,48.9,21.75
26-March-2018,2816.7,2822.9,2782.3,2813.05,2813.378499122689,148180,3727,416886426.0,106481.0,71.86,40.6,-3.65
23-March-2018,2806.7,2831.0,2800.0,2816.45,2815.9464532782654,96850,4126,272724414.0,55819.0,57.63,31.0,9.75
22-March-2018,2856.0,2870.0,2825.0,2829.95,2844.495301737432,48635,1843,138342029.0,12465.0,25.63,45.0,-26.05
21-March-2018,2860.25,2882.0,2845.0,2854.6,2857.4197490026263,99762,3253,285061909.0,50828.0,50.95,37.0,-5.65
20-March-2018,2827.45,2870.0,2820.7,2859.15,2851.677826605094,53704,2578,153146506.0,23140.0,43.09,49.3,31.7
19-March-2018,2840.7,2845.0,2820.05,2828.85,2829.1742571408013,111192,3896,314581544.0,58170.0,52.31,24.95,-11.85
16-March-2018,2868.75,2870.0,2805.0,2825.5,2833.71287226901,131088,8845,371465753.0,37973.0,28.97,65.0,-43.25
15-March-2018,2891.15,2902.4,2857.65,2869.15,2882.8351974350944,162813,3957,469363047.0,117836.0,72.38,44.75,-22.0
14-March-2018,2896.0,2925.0,2875.05,2886.1,2897.830172134288,135708,5956,393258737.0,42291.0,31.16,49.95,-9.9
13-March-2018,2928.0,2929.0,2884.1,2892.45,2901.8829515555394,2197919,37530,6378103675.0,236501.0,10.76,44.9,-35.55
12-March-2018,3035.0,3080.0,3035.0,3051.85,3058.9767916168503,71095,3179,217477955.0,23288.0,32.76,45.0,16.85
9-March-2018,3014.0,3059.95,2978.55,3034.5,3023.788023519114,105106,3286,317818264.0,15329.0,14.58,81.4,20.5
8-March-2018,3060.0,3060.0,2983.9,3001.5,3029.1039959196596,56858,6649,172228795.0,25197.0,44.32,76.1,-58.5
7-March-2018,3055.0,3089.75,3024.25,3029.25,3039.3539129683777,81051,2458,246342674.0,13168.0,16.25,65.5,-25.75
6-March-2018,3133.0,3133.0,3030.65,3049.8,3082.8968139690523,49309,3159,152014559.0,12659.0,25.67,102.35,-83.2
5-March-2018,3069.0,3112.45,3036.05,3104.3,3073.1016829851555,110815,4818,340545763.0,43259.0,39.04,76.4,35.3
1-March-2018,3041.0,3060.0,3021.95,3037.1,3040.3903465346534,28280,1901,85982239.0,7201.0,25.46,38.05,-3.9
28-February-2018,3040.0,3062.35,3023.35,3038.25,3042.905735965977,101343,1667,308377196.0,77336.0,76.31,39.0,-1.75
27-February-2018,3049.95,3077.8,3035.0,3043.25,3054.54484938561,47771,1835,145918662.0,17174.0,35.95,42.8,-6.7
26-February-2018,3078.1,3084.75,3027.0,3035.25,3047.5781315710424,49935,2353,152180814.0,11421.0,22.87,57.75,-42.85
23-February-2018,3042.0,3100.0,2996.05,3076.9,3050.5805965571058,296669,6622,905012695.0,197348.0,66.52,103.95,34.9
22-February-2018,3045.0,3077.95,3022.55,3040.4,3044.3561302758926,74703,3490,227422536.0,18198.0,24.36,55.4,-4.6
21-February-2018,2961.0,3060.0,2961.0,3043.05,3011.0231627795333,124985,6873,376332730.0,59508.0,47.61,99.0,82.05
20-February-2018,2930.0,2983.45,2929.1,2945.05,2958.882847738632,41015,2076,121358580.0,8288.0,20.21,54.35,15.05
19-February-2018,2940.0,2952.45,2898.4,2924.55,2927.6809326895495,83672,3809,244964919.0,24303.0,29.05,54.05,-15.45
16-February-2018,2925.0,2999.0,2924.0,2937.2,2973.8759685846667,304310,17139,904980196.0,187705.0,61.68,75.0,12.2
15-February-2018,2929.0,2942.5,2906.6,2925.75,2925.9462223623536,50746,2371,148480067.0,12516.0,24.66,35.9,-3.25
14-February-2018,2965.0,2974.0,2894.25,2910.45,2937.9048691951434,55923,2631,164296454.0,20040.0,35.83,79.75,-54.55
12-February-2018,3008.0,3018.0,2956.0,2967.9,2994.4679786778,1196687,2910,3583440902.0,1145016.0,95.68,62.0,-40.1
9-February-2018,2960.0,2991.75,2900.0,2972.3,2936.6082130590007,59101,3283,173556482.0,8819.0,14.92,91.75,12.3
8-February-2018,2971.0,3026.75,2957.2,2966.25,3000.0325828768823,1271404,6634,3814253426.0,1177629.0,92.62,69.55,-4.75
7-February-2018,3015.0,3044.0,2950.0,2955.35,2973.153982961357,125949,4696,374465771.0,79520.0,63.14,94.0,-59.65
6-February-2018,3030.0,3077.85,2985.8,2995.35,3019.5166665062975,519635,4876,1569046543.0,456204.0,87.79,92.05,-34.65
5-February-2018,3111.0,3185.9,3078.35,3106.5,3132.4940175301285,231259,3100,724417434.0,105146.0,45.47,107.55,-4.5
2-February-2018,3115.0,3190.0,3105.65,3149.15,3170.6691872270694,255102,9793,808844051.0,177778.0,69.69,84.35,34.15
1-February-2018,3120.0,3189.0,3091.55,3138.9,3147.295989455846,63732,4432,200583468.0,11413.0,17.91,97.45,18.9
31-January-2018,3131.0,3147.1,3101.0,3111.75,3117.6285911345726,150788,4529,470100980.0,93666.0,62.12,46.1,-19.25
30-January-2018,3119.0,3199.25,3119.0,3153.7,3164.8819962581433,44363,2781,140403660.0,10285.0,23.18,80.25,34.7
29-January-2018,3118.05,3224.0,3118.0,3195.1,3193.4615616293954,79686,4189,254474178.0,25428.0,31.91,106.0,77.05
25-January-2018,3180.0,3181.0,3080.0,3117.85,3123.6691545710946,87222,4549,272452671.0,31380.0,35.98,101.0,-62.15
24-January-2018,3100.0,3254.8,3080.0,3174.6,3184.325043156144,381174,13555,1213781914.0,112189.0,29.43,174.8,74.6
23-January-2018,3115.0,3137.75,3092.6,3103.1,3109.9680313566164,307176,7952,955307540.0,158979.0,51.76,45.15,-11.9
22-January-2018,2956.0,3130.0,2924.0,3113.15,3075.876257631395,221945,8374,682675356.0,84756.0,38.19,206.0,157.15
19-January-2018,2920.0,2979.0,2903.05,2954.75,2929.0346144708224,54717,2566,160267987.0,15522.0,28.37,75.95,34.75
18-January-2018,2895.0,2925.0,2866.6,2910.1,2895.0526544410654,52949,2635,153290143.0,11725.0,22.14,58.4,15.1
17-January-2018,2857.1,2925.0,2857.0,2889.45,2904.220229376994,152936,5131,444159825.0,72566.0,47.45,68.0,32.35
16-January-2018,2748.2,2860.0,2748.2,2850.85,2835.189378339069,138886,7187,393768112.0,40878.0,29.43,111.8,102.65
15-January-2018,2790.0,2803.05,2736.15,2747.2,2767.78050956982,32498,1739,89947331.0,11100.0,34.16,66.9,-42.8
12-January-2018,2813.0,2813.0,2744.0,2772.9,2763.8456472668886,85946,3770,237541478.0,16863.0,19.62,69.0,-40.1
11-January-2018,2807.2,2820.0,2781.9,2788.4,2795.1683566806514,70315,3345,196542263.0,13559.0,19.28,38.1,-18.8
10-January-2018,2712.0,2816.0,2697.45,2807.1,2764.349605593037,98122,5594,271243512.0,39052.0,39.8,118.55,95.1
9-January-2018,2710.0,2723.3,2678.9,2708.45,2702.047921104914,41777,1820,112883456.0,10595.0,25.36,44.4,-1.55
8-January-2018,2695.0,2721.35,2681.45,2707.75,2707.3386670426107,28373,1613,76815320.0,9380.0,33.06,39.9,12.75
5-January-2018,2651.0,2694.0,2651.0,2684.45,2684.1596801107,49142,1397,131904975.0,27307.0,55.57,43.0,33.45
4-January-2018,2660.0,2660.0,2640.4,2649.8,2647.683208980765,14609,808,38680004.0,6232.0,42.66,19.6,-10.2
3-January-2018,2634.0,2664.05,2630.15,2635.2,2647.5496007984034,20040,1075,53056894.0,5316.0,26.53,33.9,1.2
2-January-2018,2642.95,2677.45,2622.7,2633.75,2640.0047401685397,22784,1308,60149868.0,10830.0,47.53,54.75,-9.2
1-January-2018,2689.8,2692.5,2642.85,2654.65,2667.221572809617,36101,1426,96289366.0,10878.0,30.13,49.65,-35.15
29-December-2017,2615.0,2711.7,2615.0,2700.4,2673.8975907477875,93556,5062,250159163.0,34906.0,37.31,96.7,85.4
28-December-2017,2603.0,2650.0,2601.2,2628.85,2631.8650041924166,32201,2525,84748685.0,8217.0,25.52,48.8,25.85
27-December-2017,2636.1,2657.95,2611.05,2621.05,2631.944739638682,15997,862,42103220.0,5217.0,32.61,46.9,-15.05
26-December-2017,2675.05,2688.0,2635.0,2642.8,2657.652701626834,66571,2437,176922598.0,14984.0,22.51,53.0,-32.25
22-December-2017,2600.0,2659.9,2590.0,2639.8,2632.4719885487775,90820,3933,239081106.0,13617.0,14.99,69.9,39.8
21-December-2017,2590.0,2606.9,2556.7,2594.1,2594.2316005873718,17025,735,44166793.0,4825.0,28.34,50.2,4.1
20-December-2017,2570.0,2592.0,2540.0,2588.0,2563.359665386061,156957,2696,402337243.0,86274.0,54.97,52.0,18.0
19-December-2017,2570.0,2597.4,2567.5,2575.05,2585.5539503044515,26441,1742,68364632.0,7593.0,28.72,29.9,5.05
18-December-2017,2533.0,2585.2,2496.9,2577.0,2549.3183996003545,44039,2176,112269433.0,7852.0,17.83,88.3,44.0
15-December-2017,2560.0,2587.3,2540.35,2547.85,2559.0850677706567,35266,2264,90248694.0,10296.0,29.2,46.95,-12.15
14-December-2017,2620.25,2630.0,2531.0,2558.55,2559.90892098256,56709,4308,145169875.0,23989.0,42.3,99.0,-61.7
13-December-2017,2595.1,2647.55,2595.1,2627.3,2631.3752775191574,27926,1256,73483786.0,3658.0,13.1,52.45,32.2
12-December-2017,2656.05,2659.1,2605.1,2614.15,2622.617019942305,31892,1431,83640502.0,14128.0,44.3,54.0,-41.9
11-December-2017,2605.0,2667.0,2605.0,2656.0,2631.152658662093,16907,1019,44484898.0,5419.0,32.05,62.0,51.0
8-December-2017,2617.0,2644.0,2595.05,2601.0,2615.8229410845443,19197,3084,50215953.0,7794.0,40.6,48.95,-16.0
7-December-2017,2631.45,2644.55,2615.05,2617.65,2623.6389177339333,17334,1505,45478157.0,7969.0,45.97,29.5,-13.8
6-December-2017,2634.0,2640.0,2613.9,2631.45,2625.5427166564227,9762,602,25630548.0,3008.0,30.81,26.1,-2.55
5-December-2017,2620.0,2649.0,2620.0,2633.8,2640.184354205767,11722,687,30948241.0,3411.0,29.1,29.0,13.8
4-December-2017,2627.0,2658.6,2603.7,2633.35,2629.6272192727065,17517,1101,46063180.0,7408.0,42.29,54.9,6.35
1-December-2017,2637.0,2668.95,2625.0,2630.55,2650.074454956808,24310,1661,64423310.0,10662.0,43.86,43.95,-6.45
30-November-2017,2658.0,2668.55,2625.0,2634.25,2646.2946526408064,18252,951,48300170.0,5786.0,31.7,43.55,-23.75
29-November-2017,2679.8,2692.3,2651.0,2658.55,2673.7736750651607,13812,769,36930162.0,5357.0,38.79,41.3,-21.25
28-November-2017,2687.0,2697.5,2672.25,2684.9,2690.9484782635086,82373,1342,221661499.0,58671.0,71.23,25.25,-2.1
27-November-2017,2677.0,2691.4,2665.2,2687.05,2676.8605018325343,17735,912,47474121.0,3555.0,20.05,26.2,10.05
24-November-2017,2674.0,2706.0,2674.0,2688.75,2688.747508619468,21173,1279,56928851.0,8264.0,39.03,32.0,14.75
23-November-2017,2684.1,2694.25,2672.65,2682.75,2685.4410611998796,16585,686,44538040.0,3521.0,21.23,21.6,-1.35
22-November-2017,2670.0,2709.4,2670.0,2683.2,2686.758102573838,73742,1293,198126916.0,33729.0,45.74,39.4,13.2
21-November-2017,2704.75,2704.75,2670.0,2676.65,2682.4815869282666,16157,939,43340855.0,5583.0,34.55,34.75,-28.1
20-November-2017,2718.1,2725.65,2696.95,2704.65,2712.7414334076457,24222,1002,65708023.0,5287.0,21.83,28.7,-13.45
17-November-2017,2759.0,2759.0,2706.0,2710.1,2721.8541943190867,15068,923,41012899.0,3569.0,23.69,53.0,-48.9
16-November-2017,2707.0,2761.0,2690.0,2746.6,2734.0204294413634,66179,3834,180934738.0,14013.0,21.17,71.0,39.6
15-November-2017,2715.0,2749.95,2702.8,2706.15,2729.1620918222116,24591,1454,67112825.0,4323.0,17.58,47.15,-8.85
14-November-2017,2758.0,2758.0,2706.55,2716.75,2722.4735212973555,29722,2044,80917358.0,8966.0,30.17,51.45,-41.25
13-November-2017,2703.0,2774.0,2700.0,2758.9,2754.0964313283057,67364,3391,185526952.0,31094.0,46.16,74.0,55.9
10-November-2017,2717.0,2729.95,2695.5,2703.3,2705.1480582524273,9064,597,24519462.0,2694.0,29.72,34.45,-13.7
9-November-2017,2750.0,2750.0,2713.55,2733.85,2730.383956162987,31389,1645,85704022.0,11426.0,36.4,36.45,-16.15
8-November-2017,2728.0,2753.1,2719.65,2730.45,2738.1138243274163,30591,4348,83761640.0,9732.0,31.81,33.45,2.45
7-November-2017,2671.0,2743.6,2668.0,2708.35,2717.1756747440622,116044,5765,315311934.0,22357.0,19.27,75.6,37.35
6-November-2017,2610.0,2672.95,2610.0,2667.0,2646.872389666308,37160,3862,98357778.0,16927.0,45.55,62.95,57.0
3-November-2017,2630.0,2635.0,2604.25,2612.7,2614.732883961896,17951,1025,46937070.0,4494.0,25.03,30.75,-17.3
2-November-2017,2586.5,2670.0,2586.5,2625.8,2635.128369355557,40438,1813,106559321.0,10419.0,25.77,83.5,39.3
1-November-2017,2622.0,2622.0,2581.1,2602.5,2595.1162781524868,25353,1199,65793983.0,7526.0,29.68,40.9,-19.5
31-October-2017,2595.05,2634.9,2595.05,2616.3,2624.199497206704,35800,2043,93946342.0,14548.0,40.64,39.85,21.25
30-October-2017,2580.0,2618.0,2580.0,2613.0,2605.562972144912,42757,1644,111406056.0,9681.0,22.64,38.0,33.0
27-October-2017,2545.0,2590.0,2534.4,2579.2,2564.9676005529145,29661,1202,76079504.0,8203.0,27.66,55.6,34.2
26-October-2017,2560.0,2566.4,2525.6,2543.0,2544.014165134548,23932,1542,60883347.0,6863.0,28.68,40.8,-17.0
25-October-2017,2582.0,2611.0,2558.75,2561.75,2586.899597172608,13157,820,34035838.0,3552.0,27.0,52.25,-20.25
24-October-2017,2610.0,2619.0,2570.45,2580.6,2586.7659836908106,14593,719,37748676.0,4496.0,30.81,48.55,-29.4
23-October-2017,2581.0,2625.05,2555.0,2585.95,2593.971584818987,91430,2081,237166822.0,64803.0,70.88,70.05,4.95
19-October-2017,2589.05,2594.95,2570.85,2580.95,2581.3249076414545,5143,370,13275754.0,2226.0,43.28,24.1,-8.1
18-October-2017,2590.0,2611.9,2580.0,2589.05,2590.697142502944,16133,955,41795717.0,7239.0,44.87,31.9,-0.95
17-October-2017,2586.0,2612.95,2581.1,2594.85,2601.541262914715,31166,1897,81079635.0,12012.0,38.54,31.85,8.85
16-October-2017,2556.75,2590.0,2556.0,2585.1,2578.075611684808,42996,1604,110846939.0,23605.0,54.9,34.0,28.35
13-October-2017,2549.9,2605.6,2525.0,2556.75,2563.485932437201,93513,4662,239719260.0,15983.0,17.09,80.6,6.85
12-October-2017,2501.05,2555.0,2501.05,2548.55,2520.283999636124,186877,2711,470983113.0,155588.0,83.26,53.95,47.5
11-October-2017,2460.0,2513.35,2457.7,2500.5,2501.219390803875,127184,1835,318115087.0,107723.0,84.7,55.65,40.5
10-October-2017,2460.0,2470.6,2452.1,2459.55,2459.8760978583105,144372,1201,355137232.0,125657.0,87.04,18.5,-0.45
9-October-2017,2448.0,2467.0,2442.6,2452.55,2457.0954592111048,20459,833,50269716.0,8158.0,39.87,24.4,4.55
6-October-2017,2428.0,2454.05,2427.6,2445.15,2444.302957699934,24208,1015,59171686.0,11458.0,47.33,26.45,17.15
5-October-2017,2442.0,2442.55,2425.0,2430.15,2435.6627747497414,112284,1403,273485959.0,94617.0,84.27,17.55,-11.85
4-October-2017,2470.0,2470.0,2429.0,2442.55,2439.2644669284205,132440,2537,323056186.0,86403.0,65.24,41.0,-27.45
3-October-2017,2435.0,2455.45,2428.0,2447.05,2438.6371375189988,166457,3026,405928222.0,115039.0,69.11,27.45,12.05
29-September-2017,2478.45,2483.45,2420.65,2437.0,2443.028092361897,95364,2501,232976931.0,33743.0,35.38,62.8,-41.45
28-September-2017,2495.0,2511.05,2452.85,2478.45,2481.092832637923,107850,2873,267585862.0,69261.0,64.22,58.2,-16.55
27-September-2017,2490.0,2507.95,2474.1,2490.15,2492.1328532548773,331057,1900,825038026.0,306122.0,92.47,33.85,0.15
26-September-2017,2508.2,2526.0,2468.0,2474.9,2484.931516995958,62103,2369,154321702.0,36550.0,58.85,58.0,-33.3
